datetime,vt_symbol,direction,offset,price,volume,tradeid
2024-05-07 00:00:00,000625.SZSE,Long,Open,14.07,77700.0,1
2024-05-07 00:00:00,300308.SZSE,Long,Open,130.89,8800.0,2
2024-05-07 00:00:00,300476.SZSE,Long,Open,28.77,42900.0,3
2024-05-07 00:00:00,300502.SZSE,Long,Open,61.13,21200.0,4
2024-05-07 00:00:00,601136.SSE,Long,Open,22.37,48100.0,5
2024-05-07 00:00:00,601138.SSE,Long,Open,23.6,45400.0,6
2024-05-07 00:00:00,688256.SSE,Long,Open,165.05,7400.0,7
2024-05-07 00:00:00,688506.SSE,Long,Open,179.21,7600.0,8
2024-05-09 00:00:00,601136.SSE,Short,Close,22.68,48100.0,9
2024-05-13 00:00:00,300308.SZSE,Short,Close,122.99,8800.0,10
2024-05-13 00:00:00,688256.SSE,Short,Close,170.02,7400.0,11
2024-05-14 00:00:00,000625.SZSE,Short,Close,13.76,77700.0,12
2024-05-14 00:00:00,002920.SZSE,Long,Open,105.79,5400.0,13
2024-05-14 00:00:00,002938.SZSE,Long,Open,26.54,24400.0,14
2024-05-14 00:00:00,300394.SZSE,Long,Open,67.56,9000.0,15
2024-05-14 00:00:00,300476.SZSE,Short,Close,28.06,42900.0,16
2024-05-14 00:00:00,300502.SZSE,Short,Close,59.66,21200.0,17
2024-05-14 00:00:00,601136.SSE,Long,Open,22.23,27100.0,18
2024-05-14 00:00:00,601138.SSE,Short,Close,23.16,45400.0,19
2024-05-14 00:00:00,605117.SSE,Long,Open,45.99,12700.0,20
2024-05-14 00:00:00,688256.SSE,Long,Open,166.58,4100.0,21
2024-05-14 00:00:00,688506.SSE,Short,Close,185.79,7600.0,22
2024-05-17 00:00:00,601136.SSE,Short,Close,20.62,27100.0,23
2024-05-20 00:00:00,605117.SSE,Short,Close,43.09,12700.0,24
2024-05-21 00:00:00,000002.SZSE,Long,Open,9.0,103000.0,25
2024-05-21 00:00:00,001979.SZSE,Long,Open,10.09,125900.0,26
2024-05-21 00:00:00,002938.SZSE,Short,Close,26.41,24400.0,27
2024-05-21 00:00:00,300394.SZSE,Short,Close,72.08,9000.0,28
2024-05-21 00:00:00,300413.SZSE,Long,Open,25.39,37200.0,29
2024-05-21 00:00:00,300502.SZSE,Long,Open,63.93,13100.0,30
2024-05-21 00:00:00,600048.SSE,Long,Open,10.24,100900.0,31
2024-05-21 00:00:00,603993.SSE,Long,Open,8.5,97800.0,32
2024-05-21 00:00:00,688256.SSE,Short,Close,195.54,4100.0,33
2024-05-21 00:00:00,688506.SSE,Long,Open,180.38,5800.0,34
2024-05-22 00:00:00,002920.SZSE,Short,Close,100.34,5400.0,35
2024-05-22 00:00:00,603993.SSE,Short,Close,8.01,97800.0,36
2024-05-27 00:00:00,001979.SZSE,Short,Close,9.49,125900.0,37
2024-05-27 00:00:00,300502.SZSE,Short,Close,62.44,13100.0,38
2024-05-28 00:00:00,000002.SZSE,Short,Close,8.96,103000.0,39
2024-05-28 00:00:00,000938.SZSE,Long,Open,22.31,28500.0,40
2024-05-28 00:00:00,001979.SZSE,Long,Open,9.64,71700.0,41
2024-05-28 00:00:00,002459.SZSE,Long,Open,14.15,47800.0,42
2024-05-28 00:00:00,300394.SZSE,Long,Open,64.49,10600.0,43
2024-05-28 00:00:00,300413.SZSE,Short,Close,23.21,37200.0,44
2024-05-28 00:00:00,300502.SZSE,Long,Open,62.53,11100.0,45
2024-05-28 00:00:00,300782.SZSE,Long,Open,86.09,7600.0,46
2024-05-28 00:00:00,600048.SSE,Short,Close,9.97,100900.0,47
2024-05-28 00:00:00,688047.SSE,Long,Open,104.0,7400.0,48
2024-05-28 00:00:00,688256.SSE,Long,Open,174.51,3900.0,49
2024-05-28 00:00:00,688506.SSE,Short,Close,179.43,5800.0,50
2024-05-31 00:00:00,001979.SZSE,Short,Close,9.12,71700.0,51
2024-06-03 00:00:00,002459.SZSE,Short,Close,15.07,47800.0,52
2024-06-04 00:00:00,000002.SZSE,Long,Open,8.08,125300.0,53
2024-06-04 00:00:00,000938.SZSE,Short,Close,21.96,28500.0,54
2024-06-04 00:00:00,002028.SZSE,Long,Open,71.9,13400.0,55
2024-06-04 00:00:00,002463.SZSE,Long,Open,32.72,36100.0,56
2024-06-04 00:00:00,300394.SZSE,Short,Close,64.11,10600.0,57
2024-06-04 00:00:00,300476.SZSE,Long,Open,28.74,37300.0,58
2024-06-04 00:00:00,300502.SZSE,Short,Close,67.6,11100.0,59
2024-06-04 00:00:00,300782.SZSE,Short,Close,87.73,7600.0,60
2024-06-04 00:00:00,688047.SSE,Short,Close,100.92,7400.0,61
2024-06-04 00:00:00,688256.SSE,Short,Close,180.63,3900.0,62
