datetime,vt_symbol,direction,offset,price,volume,tradeid
2024-05-07 00:00:00,000625.SZSE,Long,Open,14.07,67700.0,1
2024-05-07 00:00:00,002466.SZSE,Long,Open,38.84,24500.0,2
2024-05-07 00:00:00,002625.SZSE,Long,Open,20.43,46100.0,3
2024-05-07 00:00:00,300308.SZSE,Long,Open,130.89,7300.0,4
2024-05-07 00:00:00,300476.SZSE,Long,Open,28.77,33100.0,5
2024-05-07 00:00:00,300502.SZSE,Long,Open,61.13,15600.0,6
2024-05-07 00:00:00,601136.SSE,Long,Open,22.37,41900.0,7
2024-05-07 00:00:00,601138.SSE,Long,Open,23.6,40300.0,8
2024-05-07 00:00:00,688256.SSE,Long,Open,165.05,5800.0,9
2024-05-07 00:00:00,688506.SSE,Long,Open,179.21,5300.0,10
2024-05-08 00:00:00,300308.SZSE,Short,Close,125.8,7300.0,11
2024-05-08 00:00:00,300502.SZSE,Short,Close,59.18,15600.0,12
2024-05-09 00:00:00,002625.SZSE,Short,Close,19.83,46100.0,13
2024-05-09 00:00:00,601136.SSE,Short,Close,22.68,41900.0,14
2024-05-13 00:00:00,300476.SZSE,Short,Close,28.27,33100.0,15
2024-05-13 00:00:00,601138.SSE,Short,Close,22.71,40300.0,16
2024-05-13 00:00:00,688256.SSE,Short,Close,170.02,5800.0,17
2024-05-13 00:00:00,688506.SSE,Short,Close,193.72,5300.0,18
2024-05-14 00:00:00,000625.SZSE,Short,Close,13.76,67700.0,19
2024-05-14 00:00:00,002466.SZSE,Short,Close,37.53,24500.0,20
2024-05-14 00:00:00,002920.SZSE,Long,Open,105.79,8800.0,21
2024-05-14 00:00:00,002938.SZSE,Long,Open,26.54,35400.0,22
2024-05-14 00:00:00,300347.SZSE,Long,Open,56.26,16600.0,23
2024-05-14 00:00:00,300394.SZSE,Long,Open,67.56,13900.0,24
2024-05-14 00:00:00,300502.SZSE,Long,Open,59.43,15800.0,25
2024-05-14 00:00:00,600066.SSE,Long,Open,25.01,37200.0,26
2024-05-14 00:00:00,601136.SSE,Long,Open,22.23,41700.0,27
2024-05-14 00:00:00,605117.SSE,Long,Open,45.99,20200.0,28
2024-05-14 00:00:00,688256.SSE,Long,Open,166.58,5600.0,29
2024-05-14 00:00:00,688506.SSE,Long,Open,185.5,5000.0,30
2024-05-15 00:00:00,300502.SZSE,Short,Close,56.91,15800.0,31
2024-05-16 00:00:00,300347.SZSE,Short,Close,56.01,16600.0,32
2024-05-16 00:00:00,600066.SSE,Short,Close,25.08,37200.0,33
2024-05-16 00:00:00,601136.SSE,Short,Close,21.25,41700.0,34
2024-05-16 00:00:00,605117.SSE,Short,Close,44.39,20200.0,35
2024-05-17 00:00:00,688506.SSE,Short,Close,189.47,5000.0,36
2024-05-20 00:00:00,002920.SZSE,Short,Close,105.43,8800.0,37
