datetime,vt_symbol,direction,price,volume,reason,entry_price,pnl_pct,hold_days
2024-05-07 00:00:00,000002.SZSE,Long,7.36,2300.0,signal_buy,7.36,0.0,0
2024-05-07 00:00:00,000625.SZSE,Long,14.07,1300.0,signal_buy,14.07,0.0,0
2024-05-07 00:00:00,603486.SSE,Long,50.07,400.0,signal_buy,50.07,0.0,0
2024-05-07 00:00:00,688065.SSE,Long,53.3,400.0,signal_buy,53.3,0.0,0
2024-05-07 00:00:00,688256.SSE,Long,165.05,100.0,signal_buy,165.05,0.0,0
2024-05-13 00:00:00,688256.SSE,Short,170.02,100.0,"trailing_tp(peak_dd=-4.4%,trail=2.0%)",165.05,3.01,4
2024-05-14 00:00:00,000002.SZSE,Short,7.42,2300.0,max_hold(5d),7.36,0.82,5
2024-05-14 00:00:00,000625.SZSE,Short,13.76,1300.0,max_hold(5d),14.07,-2.2,5
2024-05-14 00:00:00,688065.SSE,Short,52.59,400.0,max_hold(5d),53.3,-1.33,5
2024-05-14 00:00:00,688256.SSE,Long,166.58,100.0,signal_buy,166.58,0.0,0
2024-05-15 00:00:00,603486.SSE,Short,59.02,400.0,"trailing_tp(peak_dd=-4.1%,trail=2.0%)",50.07,17.87,6
2024-05-21 00:00:00,001979.SZSE,Long,10.09,2300.0,signal_buy,10.09,0.0,0
2024-05-21 00:00:00,600048.SSE,Long,10.24,1800.0,signal_buy,10.24,0.0,0
2024-05-21 00:00:00,603486.SSE,Long,51.8,400.0,signal_buy,51.8,0.0,0
2024-05-21 00:00:00,603833.SSE,Long,65.53,300.0,signal_buy,65.53,0.0,0
2024-05-21 00:00:00,688256.SSE,Short,195.54,100.0,max_hold(5d),166.58,17.39,5
2024-05-27 00:00:00,001979.SZSE,Short,9.49,2300.0,stop_loss(-5.9%),10.09,-5.95,4
2024-05-28 00:00:00,300782.SZSE,Long,86.09,200.0,signal_buy,86.09,0.0,0
2024-05-28 00:00:00,600048.SSE,Short,9.97,1800.0,max_hold(5d),10.24,-2.64,5
2024-05-28 00:00:00,603486.SSE,Short,51.9,400.0,max_hold(5d),51.8,0.19,5
2024-05-28 00:00:00,603833.SSE,Short,63.04,300.0,max_hold(5d),65.53,-3.8,5
2024-05-28 00:00:00,688256.SSE,Long,174.51,100.0,signal_buy,174.51,0.0,0
2024-06-04 00:00:00,002916.SZSE,Long,70.73,300.0,signal_buy,70.73,0.0,0
2024-06-04 00:00:00,300496.SZSE,Long,57.74,400.0,signal_buy,57.74,0.0,0
2024-06-04 00:00:00,300782.SZSE,Short,87.73,200.0,max_hold(5d),86.09,1.9,5
2024-06-04 00:00:00,603486.SSE,Long,52.32,400.0,signal_buy,52.32,0.0,0
2024-06-04 00:00:00,688256.SSE,Short,180.63,100.0,max_hold(5d),174.51,3.51,5
2024-06-11 00:00:00,300496.SZSE,Short,53.26,400.0,stop_loss(-7.6%),57.74,-7.76,4
2024-06-11 00:00:00,603486.SSE,Short,48.88,400.0,stop_loss(-6.4%),52.32,-6.57,4
2024-06-12 00:00:00,002916.SZSE,Short,72.27,300.0,max_hold(5d),70.73,2.18,5
2024-06-18 00:00:00,002475.SZSE,Long,36.48,600.0,signal_buy,36.48,0.0,0
2024-06-18 00:00:00,002920.SZSE,Long,96.98,200.0,signal_buy,96.98,0.0,0
2024-06-18 00:00:00,300661.SZSE,Long,63.64,400.0,signal_buy,63.64,0.0,0
2024-06-18 00:00:00,688256.SSE,Long,210.96,100.0,signal_buy,210.96,0.0,0
2024-06-21 00:00:00,002920.SZSE,Short,91.75,200.0,stop_loss(-5.4%),96.98,-5.39,3
2024-06-25 00:00:00,002475.SZSE,Short,37.21,600.0,max_hold(5d),36.48,2.0,5
