datetime,vt_symbol,direction,price,volume,reason,entry_price,pnl_pct,hold_days
2025-05-13 00:00:00,300502.SZSE,Long,80.44,300.0,signal_buy,80.44,0.0,0
2025-05-13 00:00:00,600760.SSE,Long,49.11,500.0,signal_buy,49.11,0.0,0
2025-05-13 00:00:00,603296.SSE,Long,74.57,300.0,signal_buy,74.57,0.0,0
2025-05-13 00:00:00,688506.SSE,Long,263.52,100.0,signal_buy,263.52,0.0,0
2025-05-16 00:00:00,300502.SZSE,Short,82.4,300.0,"trailing_tp(peak_dd=-2.5%,trail=2.0%)",80.44,2.44,3
2025-05-16 00:00:00,600760.SSE,Short,46.56,500.0,stop_loss(-5.2%),49.11,-5.19,3
2025-05-16 00:00:00,603296.SSE,Short,69.4,300.0,stop_loss(-6.7%),74.57,-6.93,3
2025-05-20 00:00:00,002938.SZSE,Long,27.97,800.0,signal_buy,27.97,0.0,0
2025-05-20 00:00:00,300502.SZSE,Long,82.68,300.0,signal_buy,82.68,0.0,0
2025-05-20 00:00:00,600183.SSE,Long,26.13,800.0,signal_buy,26.13,0.0,0
2025-05-20 00:00:00,688506.SSE,Short,271.76,100.0,max_hold(5d),263.52,3.13,5
2025-05-27 00:00:00,002938.SZSE,Short,27.22,800.0,max_hold(5d),27.97,-2.68,5
2025-05-27 00:00:00,300418.SZSE,Long,37.47,400.0,signal_buy,37.47,0.0,0
2025-05-27 00:00:00,601127.SSE,Long,139.4,100.0,signal_buy,139.4,0.0,0
2025-05-28 00:00:00,300502.SZSE,Short,81.03,300.0,max_hold(6d),82.68,-2.0,6
2025-05-28 00:00:00,600183.SSE,Short,25.48,800.0,max_hold(6d),26.13,-2.49,6
2025-05-29 00:00:00,300418.SZSE,Short,34.69,400.0,stop_loss(-7.2%),37.47,-7.42,2
2025-06-04 00:00:00,601127.SSE,Short,134.41,100.0,max_hold(5d),139.4,-3.58,5
2025-06-10 00:00:00,002422.SZSE,Long,37.8,400.0,signal_buy,37.8,0.0,0
