datetime,vt_symbol,direction,price,volume,reason,entry_price,pnl_pct,hold_days
2025-05-13 00:00:00,300347.SZSE,Long,44.48,600.0,signal_buy,44.48,0.0,0
2025-05-13 00:00:00,300442.SZSE,Long,46.69,500.0,signal_buy,46.69,0.0,0
2025-05-13 00:00:00,601689.SSE,Long,53.06,500.0,signal_buy,53.06,0.0,0
2025-05-13 00:00:00,688506.SSE,Long,263.52,100.0,signal_buy,263.52,0.0,0
2025-05-16 00:00:00,300442.SZSE,Short,43.75,500.0,stop_loss(-6.1%),46.69,-6.3,3
2025-05-19 00:00:00,300347.SZSE,Short,41.99,600.0,stop_loss(-5.4%),44.48,-5.6,4
2025-05-20 00:00:00,002938.SZSE,Long,27.97,800.0,signal_buy,27.97,0.0,0
2025-05-20 00:00:00,600588.SSE,Long,13.26,1500.0,signal_buy,13.26,0.0,0
2025-05-20 00:00:00,601689.SSE,Short,50.55,500.0,max_hold(5d),53.06,-4.73,5
2025-05-20 00:00:00,688506.SSE,Short,271.76,100.0,"trailing_tp(peak_dd=-2.0%,trail=1.5%)",263.52,3.13,5
2025-05-27 00:00:00,002475.SZSE,Long,30.76,800.0,signal_buy,30.76,0.0,0
2025-05-27 00:00:00,002938.SZSE,Short,27.22,800.0,max_hold(5d),27.97,-2.68,5
2025-05-27 00:00:00,600588.SSE,Short,13.16,1500.0,max_hold(5d),13.26,-0.75,5
2025-05-27 00:00:00,688223.SSE,Long,5.25,5000.0,signal_buy,5.25,0.0,0
2025-06-04 00:00:00,002475.SZSE,Short,30.12,800.0,max_hold(5d),30.76,-2.08,5
2025-06-04 00:00:00,688223.SSE,Short,5.13,5000.0,max_hold(5d),5.25,-2.29,5
2025-06-10 00:00:00,002920.SZSE,Long,99.01,400.0,signal_buy,99.01,0.0,0
2025-06-10 00:00:00,688506.SSE,Long,328.0,100.0,signal_buy,328.0,0.0,0
2025-06-12 00:00:00,688506.SSE,Short,331.0,100.0,"trailing_tp(peak_dd=-3.0%,trail=1.5%)",328.0,0.91,2
2025-06-17 00:00:00,000596.SZSE,Long,127.69,100.0,signal_buy,127.69,0.0,0
2025-06-17 00:00:00,002920.SZSE,Short,95.53,400.0,max_hold(5d),99.01,-3.51,5
2025-06-17 00:00:00,300442.SZSE,Long,43.42,400.0,signal_buy,43.42,0.0,0
2025-06-17 00:00:00,300502.SZSE,Long,106.91,200.0,signal_buy,106.91,0.0,0
